Unnamed: 0,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description,Year,Cumulative Inflation (to 2023),Gross Adjusted for Inflation (2023)
32,Sen to Chihiro no kamikakushi,2001,125,8.6,96.0,10.06,801486.0,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",2001,1.7014000023857985,17.116084024001132
33,La vita è bella,1997,116,8.6,59.0,57.6,717512.0,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",1997,1.8634069808952645,107.33224209956724
36,Seppuku,1962,133,8.6,85.0,47.0,62597.0,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",1962,9.946943240248418,467.5063322916756
38,The Prestige,2006,130,8.5,66.0,53.09,1382402.0,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2006,1.5350498475981087,81.4957964089836
39,Back to the Future,1985,116,8.5,87.0,210.61,1253518.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985,2.9453542226839122,620.3210528394588
40,Gisaengchung,2019,132,8.5,96.0,53.37,873956.0,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019,1.1984430564368642,63.96090592203544
41,Gladiator,2000,155,8.5,67.0,187.71,1550619.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000,1.7422336024430576,327.03466951458637
42,The Departed,2006,151,8.5,85.0,132.38,1369934.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,1.5350498475981087,203.2098988250376
43,Alien,1979,117,8.5,89.0,78.9,912280.0,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.,1979,4.706544585064222,371.34636776156714
44,Whiplash,2014,106,8.5,89.0,13.09,920655.0,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014,1.31798525114934,17.25242693754486
45,Léon,1994,110,8.5,64.0,19.5,1200839.0,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,2.0263221935377227,39.513282773985594
46,The Pianist,2002,150,8.5,85.0,32.57,867989.0,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,2002,1.6582846027152032,54.01032951043417
47,The Usual Suspects,1995,106,8.5,77.0,23.34,1112608.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1995,1.9711305384608198,46.00618676767553
48,The Lion King,1994,88,8.5,88.0,422.78,1097285.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,2.0263221935377227,856.6884969838784
49,American History X,1998,119,8.5,62.0,6.72,1151761.0,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",1998,1.8197333797805317,12.228608312125173
50,Hotaru no haka,1988,89,8.5,94.0,46.0,291861.0,A young boy and his little sister struggle to survive in Japan during World War II.,1988,2.6083697528514977,119.9850086311689
51,The Intouchables,2011,112,8.5,57.0,13.18,890758.0,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,1.393172917233373,18.362019049135856
52,Psycho,1960,109,8.5,97.0,32.0,693868.0,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",1960,10.207244797902476,326.6318335328792
54,Once Upon a Time in the West,1968,165,8.5,82.0,5.32,339755.0,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1968,8.886624231549801,47.27684091184494
56,Nuovo Cinema Paradiso,1988,155,8.5,80.0,11.99,271463.0,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,1988,2.6083697528514977,31.274353336689458
60,Memento,2000,113,8.4,83.0,25.54,1277091.0,A man with short-term memory loss attempts to track down his wife's murderer.,2000,1.7422336024430576,44.49664620639569
61,The Dark Knight Rises,2012,164,8.4,78.0,448.14,1761545.0,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",2012,1.3698848743690986,613.9002075997678
62,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,190.24,615401.0,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,2018,1.2236103606220383,232.77963500473658
63,Raiders of the Lost Ark,1981,115,8.4,85.0,248.16,1006763.0,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",1981,3.813585834698012,946.3794607386586
64,Django Unchained,2012,165,8.4,81.0,162.81,1619946.0,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",2012,1.3698848743690986,223.03095639603293
65,Joker,2019,122,8.4,59.0,335.45,1381002.0,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.",2019,1.1984430564368642,402.0177232817461
66,Avengers: Endgame,2019,181,8.4,78.0,858.37,1200821.0,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,1.1984430564368642,1028.7075663537112
67,The Shining,1980,146,8.4,66.0,44.02,1060625.0,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1980,4.286470478200566,188.69043045038893
68,Aliens,1986,137,8.4,84.0,85.16,738697.0,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",1986,2.8239254292271454,240.4854895529837
69,Oldeuboi,2003,101,8.4,77.0,0.71,603564.0,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003,1.6194185573390656,1.1497871757107365
70,Avengers: Infinity War,2018,149,8.4,68.0,678.82,1142664.0,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018,1.2236103606220383,830.6111849974521
71,Apocalypse Now,1979,147,8.4,94.0,83.47,687709.0,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1979,4.706544585064222,392.8552765153106
72,Amadeus,1984,160,8.4,87.0,51.97,413533.0,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",1984,3.092621933818108,160.72356190052707
74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,0.28,503942.0,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1964,9.693279801132581,2.714118344317123
75,The Lives of Others,2006,137,8.4,89.0,11.29,399279.0,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",2006,1.5350498475981087,17.330712779382647
76,Kimi no na wa.,2016,106,8.4,81.0,5.02,293932.0,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",2016,1.2730393247497263,6.390657410243625
77,Coco,2017,105,8.4,81.0,209.73,546380.0,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2017,1.245635347113235,261.24710135005876
78,WALL·E,2008,98,8.4,95.0,223.81,1155638.0,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2008,1.4639390101786796,327.6441898680903
79,Capharnaüm,2018,126,8.4,75.0,1.66,97339.0,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2018,1.2236103606220383,2.0311931986325833
80,3 Idiots,2009,170,8.4,67.0,6.53,415008.0,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",2009,1.4310254253946038,9.344596027826762
81,Das Boot,1981,149,8.4,86.0,11.49,257484.0,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,1981,3.813585834698012,43.81810124068016
86,Tengoku to jigoku,1963,143,8.4,90.0,87.0,48880.0,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,1963,9.819292438547304,854.2784421536155
91,Top Gun: Maverick,2022,130,8.3,78.0,718.73,616792.0,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",2022,1.1129760000000002,799.9292404800002
92,Braveheart,1995,178,8.3,68.0,75.6,1062862.0,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1995,1.9711305384608198,149.01746870763796
93,Inglourious Basterds,2009,153,8.3,69.0,120.54,1510473.0,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,1.4310254253946038,172.49580477706556
94,Heat,1995,170,8.3,76.0,67.44,685676.0,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,1995,1.9711305384608198,132.93304351379768
95,American Beauty,1999,122,8.3,84.0,130.1,1180519.0,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999,1.7788205080943615,231.42454810307643
96,Requiem for a Dream,2000,102,8.3,71.0,3.64,868981.0,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000,1.7422336024430576,6.34173031289273
97,Good Will Hunting,1997,126,8.3,70.0,138.43,1014823.0,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997,1.8634069808952645,257.9514283653315
98,2001: A Space Odyssey,1968,149,8.3,84.0,56.95,692341.0,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",1968,8.886624231549801,506.0932499867612
99,To Kill a Mockingbird,1962,129,8.3,88.0,113.0,324539.0,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",1962,9.946943240248418,1124.0045861480712
100,Reservoir Dogs,1992,99,8.3,81.0,2.83,1052277.0,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1992,2.1706388864836725,6.142908048748794
101,A Clockwork Orange,1971,136,8.3,77.0,6.21,854641.0,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",1971,7.554160359507518,46.91133583254169
102,Scarface,1983,170,8.3,65.0,45.6,876738.0,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",1983,3.2163268111708323,146.66450258938997
103,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,34.4,1039917.0,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",2004,1.597059721241682,54.93885441071386
104,Jagten,2012,115,8.3,77.0,0.69,345981.0,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2012,1.3698848743690986,0.945220563314678
105,Full Metal Jacket,1987,116,8.3,78.0,46.36,765283.0,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,2.715312912718409,125.88190663362543
106,Once Upon a Time in America,1984,229,8.3,75.0,5.32,363889.0,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",1984,3.092621933818108,16.452748687912337
107,Toy Story,1995,81,8.3,96.0,191.8,1029621.0,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,1995,1.9711305384608198,378.0628372767853
108,Hamilton,2020,160,8.3,89.0,110.0,104182.0,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",2020,1.1726448693120002,128.99093562432003
109,Up,2009,96,8.3,88.0,293.0,1081937.0,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",2009,1.4310254253946038,419.2904496406189
110,Incendies,2010,131,8.3,80.0,6.86,186891.0,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,2010,1.4071046464057069,9.65273787434315
111,Lawrence of Arabia,1962,218,8.3,100.0,44.82,303804.0,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1962,9.946943240248418,445.82199602793406
112,Toy Story 3,2010,103,8.3,92.0,415.0,863855.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010,1.4071046464057069,583.9484282583684
113,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,69.0,33.23,774411.0,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",2001,1.7014000023857985,56.53752207928008
114,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58.0,309.13,1086887.0,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",1983,3.2163268111708323,994.2631071372393
115,Mononoke-hime,1997,134,8.3,76.0,2.38,411777.0,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1997,1.8634069808952645,4.4349086145307295
116,Vertigo,1958,128,8.3,100.0,3.2,414047.0,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",1958,10.661263046513179,34.11604174884217
120,North by Northwest,1959,136,8.3,98.0,13.28,337022.0,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1959,10.411389693860526,138.26325513446778
121,Jodaeiye Nader az Simin,2011,123,8.3,95.0,7.1,251368.0,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,2011,1.393172917233373,9.891527712356948
122,The Sting,1973,129,8.3,83.0,159.6,271443.0,Two grifters team up to pull off the ultimate con.,1973,7.00490570331091,1117.9829502484213
123,The Apartment,1960,125,8.3,94.0,18.6,188581.0,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",1960,10.207244797902476,189.85475324098607
